Objects,Architecture,Effects,Resolution,Time
65000,CPU,xx-TR-RE,1280x720,34.93
260000,APU,xx-xx-xx,1440x900,13.35
16000,CPU,AA-xx-RE,1440x900,70.98
4000,CPU,AA-TR-RE,1440x900,53.21
1000,APU,AA-xx-xx,1440x900,6.02
260000,GPU,AA-xx-RE,1440x900,440.12
4000,GPU,xx-TR-RE,1280x720,5.52
1000,CPU,xx-xx-xx,1280x720,3.08
65000,GPU,xx-xx-xx,1280x720,10.31
4000,GPU,xx-TR-xx,1920x1080,4.20
260000,GPU,xx-TR-RE,1920x1080,256.85
1000,CPU,xx-xx-RE,1440x900,4.26
16000,GPU,AA-TR-xx,1920x1080,56.58
16000,CPU,AA-xx-xx,1280x720,37.32
16000,GPU,AA-TR-RE,1920x1080,159.19
1000,GPU,xx-TR-xx,1920x1080,1.61
4000,CPU,xx-TR-RE,1920x1080,12.99
4000,APU,AA-xx-RE,1920x1080,14.91
65000,APU,xx-xx-xx,1440x900,7.19
1000,APU,AA-TR-RE,1920x1080,9.60
16000,GPU,xx-TR-RE,1280x720,22.42
1000,APU,xx-xx-xx,1440x900,3.86
65000,GPU,AA-TR-RE,1920x1080,457.43
1000,GPU,AA-xx-xx,1440x900,4.22
65000,CPU,AA-TR-RE,1280x720,173.41
65000,APU,AA-TR-xx,1280x720,30.31
260000,APU,AA-TR-RE,1440x900,249.30
65000,GPU,AA-xx-xx,1440x900,59.74
260000,GPU,AA-TR-xx,1920x1080,424.03
16000,APU,AA-xx-RE,1440x900,24.04
1000,CPU,AA-xx-xx,1280x720,15.27
4000,APU,AA-xx-RE,1440x900,12.52
4000,CPU,AA-TR-xx,1440x900,44.23
16000,GPU,xx-xx-RE,1920x1080,13.31
1000,GPU,AA-xx-xx,1920x1080,4.60
16000,GPU,AA-TR-xx,1920x1080,56.45
65000,APU,xx-TR-RE,1280x720,18.48
4000,GPU,AA-xx-xx,1280x720,7.38
16000,GPU,xx-TR-RE,1280x720,22.32
16000,GPU,xx-TR-RE,1280x720,22.40
16000,GPU,xx-TR-xx,1920x1080,11.71
260000,GPU,xx-xx-xx,1440x900,47.36
4000,APU,AA-xx-xx,1280x720,6.89
1000,APU,AA-TR-RE,1440x900,8.43
16000,CPU,AA-TR-xx,1920x1080,103.90
1000,CPU,AA-xx-RE,1920x1080,25.28
260000,APU,xx-xx-xx,1280x720,11.99
16000,GPU,AA-TR-RE,1440x900,141.06
16000,GPU,xx-xx-RE,1920x1080,13.35
1000,GPU,AA-xx-RE,1920x1080,5.97
4000,GPU,AA-xx-xx,1280x720,7.51
260000,GPU,AA-xx-RE,1440x900,437.93
65000,GPU,xx-xx-RE,1920x1080,34.49
4000,CPU,AA-xx-xx,1440x900,32.58
65000,APU,AA-TR-RE,1280x720,83.28
4000,GPU,xx-xx-RE,1920x1080,4.28
16000,CPU,AA-xx-RE,1280x720,52.13
260000,GPU,AA-xx-xx,1920x1080,258.96
4000,GPU,AA-xx-RE,1440x900,17.59
4000,GPU,xx-TR-RE,1920x1080,7.54
4000,CPU,AA-TR-RE,1440x900,53.32
4000,CPU,xx-xx-RE,1440x900,7.75
1000,GPU,xx-xx-RE,1280x720,1.23
65000,CPU,AA-TR-xx,1920x1080,172.42
16000,GPU,AA-xx-RE,1440x900,54.69
260000,GPU,AA-TR-RE,1280x720,841.10
1000,CPU,xx-xx-xx,1280x720,3.12
16000,CPU,xx-TR-xx,1280x720,13.18
260000,CPU,AA-xx-xx,1440x900,226.88
16000,CPU,AA-TR-xx,1440x900,84.71
65000,APU,xx-xx-RE,1280x720,9.28
65000,CPU,xx-TR-xx,1920x1080,34.67
260000,APU,xx-xx-xx,1920x1080,15.20
65000,CPU,xx-TR-RE,1280x720,34.79
4000,APU,xx-TR-xx,1440x900,5.41
65000,GPU,AA-TR-RE,1280x720,285.19
260000,GPU,AA-TR-xx,1920x1080,422.68
16000,CPU,AA-xx-RE,1920x1080,90.12
1000,CPU,AA-TR-xx,1920x1080,27.35
1000,GPU,AA-xx-xx,1920x1080,4.59
16000,GPU,AA-TR-RE,1280x720,110.19
260000,APU,xx-xx-xx,1440x900,13.24
4000,CPU,AA-TR-RE,1920x1080,64.08
260000,CPU,xx-TR-xx,1280x720,51.87
16000,GPU,xx-xx-xx,1920x1080,5.36
260000,CPU,AA-xx-RE,1920x1080,366.02
260000,GPU,xx-TR-xx,1440x900,75.54
65000,APU,AA-xx-xx,1920x1080,22.46
4000,APU,xx-xx-RE,1920x1080,5.53
16000,CPU,AA-TR-RE,1280x720,99.27
65000,APU,xx-TR-RE,1920x1080,29.34
16000,CPU,AA-xx-RE,1920x1080,90.26
16000,CPU,AA-TR-RE,1440x900,130.06
1000,CPU,AA-TR-xx,1440x900,22.63
260000,APU,AA-xx-xx,1440x900,46.95
4000,GPU,AA-TR-xx,1280x720,14.76
16000,CPU,xx-xx-xx,1280x720,7.58
1000,APU,xx-TR-RE,1920x1080,4.44
65000,GPU,AA-xx-RE,1920x1080,168.15
4000,GPU,xx-TR-xx,1920x1080,4.19
4000,CPU,xx-xx-RE,1440x900,7.79
4000,APU,AA-TR-xx,1920x1080,13.92
1000,APU,xx-xx-RE,1440x900,4.02
65000,APU,AA-TR-RE,1440x900,110.33
1000,GPU,xx-TR-xx,1440x900,1.45
